no.      longtitude  latitude    distance  profile-len  min-depth  max-depth  conv
  3_12    -43.74342  28.18708       9.759      36         -2735      -3193      7
  3_13    -43.74342  28.18708       9.759      36         -2777      -3205      6
  3_14    -43.74342  28.18708       9.759      36         -2804      -3229      6
  3_15    -43.74342  28.18708       9.759      36         -2797      -3264      6
  3_16    -43.74342  28.18708       9.759      36         -2774      -3266      6
  3_17    -43.74342  28.18708       9.759      36         -2795      -3264      5
  3_18    -43.74342  28.18708       9.759      36         -2809      -3268      3
  3_19    -43.74342  28.18708       9.759      36         -2851      -3293      4
  3_20    -43.74342  28.18708       9.759      36         -2862      -3317      4
  3_21    -43.74342  28.18708       9.759      36         -2866      -3336      4
  3_22    -43.74342  28.18708       9.759      36         -2898      -3344      3
  3_23    -43.74342  28.18708       9.759      36         -2898      -3347      4
  3_24    -43.74342  28.18708       9.759      36         -2897      -3358      3
  3_25    -43.74342  28.18708       9.759      36         -2903      -3383      6
  3_26    -43.74342  28.18708       9.759      36         -2920      -3407      7
  3_27    -43.74342  28.18708       9.759      36         -2928      -3415      7
  3_28    -43.74342  28.18708       9.759      36         -2930      -3418      6
  3_29    -43.74342  28.18708       9.759      36         -2941      -3432      3
  3_30    -43.74342  28.18708       9.759      36         -2921      -3445      2
  3_31    -43.74342  28.18708       9.759      36         -2916      -3449      3
  3_32    -43.74342  28.18708       9.759      36         -2926      -3459      3
  3_33    -43.74342  28.18708       9.759      36         -2933      -3466      3
  3_34    -43.74342  28.18708       9.759      36         -2948      -3476      2
  3_35    -43.74342  28.18708       9.759      36         -2957      -3510      2
  3_36    -43.74342  28.18708       9.759      36         -2959      -3526      2
  3_37    -43.74342  28.18708       9.759      36         -2965      -3538      2
  3_38    -43.74342  28.18708       9.759      36         -2978      -3520      2
  3_39    -43.74342  28.18708       9.759      36         -2974      -3494      2
  3_40    -43.74342  28.18708       9.759      36         -2966      -3477      2
  3_41    -43.74342  28.18708       9.759      36         -2965      -3484      2
  3_42    -43.74342  28.18708       9.759      36         -2961      -3496      2
  3_43    -43.74342  28.18708       9.759      36         -2957      -3482      2
  3_44    -43.74342  28.18708       9.759      36         -2970      -3472      2
  3_45    -43.74342  28.18708       9.759      36         -2959      -3481      2
  3_46    -43.74342  28.18708       9.759      36         -2951      -3475      2
  3_47    -43.74342  28.18708       9.759      36         -2953      -3453      2
  3_48    -43.74342  28.18708       9.759      36         -2958      -3449      5
  3_49    -43.74342  28.18708       9.759      36         -2970      -3450      5
  3_50    -43.74342  28.18708       9.759      36         -2974      -3425      5
  3_51    -43.74342  28.18708       9.759      36         -2972      -3391      3
  3_52    -43.74342  28.18708       9.759       0             0          0      0
  3_53    -43.74342  28.18708       9.759      36         -2984      -3401      3
  3_54    -43.74342  28.18708       9.759      36         -3007      -3422      4
  3_55    -43.74342  28.18708       9.759      36         -3029      -3468      4
  3_56    -43.74342  28.18708       9.759      36         -3042      -3489      4
  3_57    -43.74342  28.18708       9.759      36         -3038      -3503      2
  3_58    -43.74342  28.18708       9.759      36         -3052      -3524      3
  3_59    -43.74342  28.18708       9.759      36         -3066      -3553      5
  3_60    -43.74342  28.18708       9.759      27         -3088      -3544      3
  3_61    -43.74342  28.18708       9.759       0             0          0      0
  3_62    -43.74342  28.18708       9.759       0             0          0      0
  3_63    -43.74342  28.18708       9.759       0             0          0      0
  3_64    -43.74342  28.18708       9.759       0             0          0      0
  3_65    -43.74342  28.18708       9.759       0             0          0      0
  3_66    -43.74342  28.18708       9.759       0             0          0      0
avg_  3   -43.74342  28.18708       9.759      36         -2919      -3403      4
std_  3   -43.74342  28.18708       9.759      36            92        109      2
  4_1     -43.78732  28.21257      14.911       0             0          0      0
  4_2     -43.78732  28.21257      14.911       0             0          0      0
  4_3     -43.78732  28.21257      14.911       0             0          0      0
  4_4     -43.78732  28.21257      14.911       0             0          0      0
  4_5     -43.78732  28.21257      14.911       0             0          0      0
  4_6     -43.78732  28.21257      14.911       0             0          0      0
  4_7     -43.78732  28.21257      14.911       0             0          0      0
  4_8     -43.78732  28.21257      14.911      30         -2847      -3792      2
  4_9     -43.78732  28.21257      14.911      37         -2755      -3786      2
  4_10    -43.78732  28.21257      14.911       0             0          0      0
  4_11    -43.78732  28.21257      14.911       0             0          0      0
  4_12    -43.78732  28.21257      14.911       0             0          0      0
  4_13    -43.78732  28.21257      14.911      46         -2549      -3765      2
  4_14    -43.78732  28.21257      14.911      46         -2552      -3769      1
  4_15    -43.78732  28.21257      14.911       0             0          0      0
  4_16    -43.78732  28.21257      14.911      46         -2570      -3790      1
  4_17    -43.78732  28.21257      14.911      46         -2603      -3803      2
  4_18    -43.78732  28.21257      14.911      46         -2635      -3808      3
  4_19    -43.78732  28.21257      14.911      46         -2636      -3810      4
  4_20    -43.78732  28.21257      14.911      46         -2647      -3811      3
  4_21    -43.78732  28.21257      14.911      46         -2687      -3817      2
  4_22    -43.78732  28.21257      14.911      46         -2702      -3820      2
  4_23    -43.78732  28.21257      14.911      46         -2693      -3783      3
  4_24    -43.78732  28.21257      14.911      46         -2693      -3800      2
  4_25    -43.78732  28.21257      14.911      46         -2695      -3822      3
  4_26    -43.78732  28.21257      14.911      46         -2698      -3838      2
  4_27    -43.78732  28.21257      14.911      46         -2696      -3834      2
  4_28    -43.78732  28.21257      14.911      46         -2739      -3835      3
  4_29    -43.78732  28.21257      14.911      46         -2785      -3840      4
  4_30    -43.78732  28.21257      14.911      46         -2757      -3869      4
  4_31    -43.78732  28.21257      14.911      46         -2779      -3871      3
  4_32    -43.78732  28.21257      14.911      46         -2782      -3881      2
  4_33    -43.78732  28.21257      14.911      46         -2814      -3893      2
  4_34    -43.78732  28.21257      14.911      46         -2826      -3912      1
  4_35    -43.78732  28.21257      14.911      46         -2845      -3916      3
  4_36    -43.78732  28.21257      14.911      46         -2895      -3912      4
  4_37    -43.78732  28.21257      14.911      46         -2938      -3897      4
  4_38    -43.78732  28.21257      14.911      46         -2958      -3861      5
  4_39    -43.78732  28.21257      14.911      46         -2955      -3826      4
  4_40    -43.78732  28.21257      14.911      46         -2957      -3816      5
  4_41    -43.78732  28.21257      14.911      46         -2960      -3856      7
  4_42    -43.78732  28.21257      14.911      46         -2974      -3854      8
  4_43    -43.78732  28.21257      14.911      46         -2991      -3835      2
  4_44    -43.78732  28.21257      14.911      46         -3037      -3839      1
  4_45    -43.78732  28.21257      14.911      46         -3065      -3867      1
  4_46    -43.78732  28.21257      14.911      46         -3089      -3884      3
  4_47    -43.78732  28.21257      14.911      43         -3112      -3888      5
  4_48    -43.78732  28.21257      14.911      41         -3126      -3867      5
  4_49    -43.78732  28.21257      14.911      38         -3164      -3875      5
  4_50    -43.78732  28.21257      14.911      37         -3187      -3916      5
  4_51    -43.78732  28.21257      14.911      37         -3224      -3924      5
  4_52    -43.78732  28.21257      14.911      37         -3252      -3917      5
  4_53    -43.78732  28.21257      14.911      37         -3276      -3912      4
  4_54    -43.78732  28.21257      14.911      37         -3292      -3909      5
  4_55    -43.78732  28.21257      14.911      38         -3276      -3897      4
  4_56    -43.78732  28.21257      14.911      40         -3269      -3877      3
  4_57    -43.78732  28.21257      14.911      43         -3258      -3853      4
  4_58    -43.78732  28.21257      14.911      45         -3273      -3837      9
  4_59    -43.78732  28.21257      14.911      46         -3276      -3839      8
  4_60    -43.78732  28.21257      14.911      46         -3278      -3854      8
  4_61    -43.78732  28.21257      14.911      45         -3284      -3848     10
  4_62    -43.78732  28.21257      14.911       0             0          0      0
  4_63    -43.78732  28.21257      14.911       0             0          0      0
  4_64    -43.78732  28.21257      14.911       0             0          0      0
  4_65    -43.78732  28.21257      14.911       0             0          0      0
  4_66    -43.78732  28.21257      14.911       0             0          0      0
avg_  4   -43.78732  28.21257      14.911      44         -2927      -3850      4
std_  4   -43.78732  28.21257      14.911      44           240         43      2
