no.      longtitude  latitude   distance  l-width  r-width  l-height  r-height  l-minmax-slope  r-minmax-slope  l-max-slope  r-max-slope  l-area  r-area
  2_12    -43.70472  28.16353     5.150     600      1800      282       453        25.2            14.1           34.7          23.0      0.0712     0.3799
  2_13    -43.70472  28.16353     5.150     600      1800      318       506        27.9            15.7           34.4          35.5      0.0794     0.4173
  2_14    -43.70472  28.16353     5.150     750      1650      350       555        25.0            18.6           33.7          46.1      0.1432     0.3961
  2_15    -43.70472  28.16353     5.150     900      1650      387       605        23.3            20.1           38.9          39.0      0.1547     0.4470
  2_16    -43.70472  28.16353     5.150     900      1800      428       650        25.4            19.9           47.3          39.5      0.1666     0.4845
  2_17    -43.70472  28.16353     5.150     750      1800      455       672        31.2            20.5           42.3          34.2      0.1395     0.6103
  2_18    -43.70472  28.16353     5.150     750      1950      471       694        32.1            19.6           48.6          38.3      0.1415     0.6196
  2_19    -43.70472  28.16353     5.150     900      1800      494       698        28.8            21.2           39.3          37.5      0.1731     0.6164
  2_20    -43.70472  28.16353     5.150    1050      1650      512       692        26.0            22.8           42.5          36.4      0.2650     0.5141
  2_21    -43.70472  28.16353     5.150    1050      1650      512       677        26.0            22.3           34.0          35.4      0.2744     0.5332
  2_22    -43.70472  28.16353     5.150    1050      1800      460       644        23.7            19.7           34.2          34.3      0.2470     0.5320
  2_23    -43.70472  28.16353     5.150       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  2_24    -43.70472  28.16353     5.150       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  2_25    -43.70472  28.16353     5.150       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  2_26    -43.70472  28.16353     5.150     900      1800      463       619        27.2            19.0           44.5          30.6      0.1619     0.5428
  2_27    -43.70472  28.16353     5.150     900      1800      426       553        25.3            17.1           43.6          28.1      0.1460     0.4600
  2_28    -43.70472  28.16353     5.150     900      1800      413       504        24.6            15.6           40.6          29.0      0.1295     0.3810
  2_29    -43.70472  28.16353     5.150     750      1650      406       454        28.4            15.4           45.3          24.6      0.1246     0.3209
  2_30    -43.70472  28.16353     5.150     750      1800      417       431        29.0            13.5           50.4          24.7      0.1341     0.3202
  2_31    -43.70472  28.16353     5.150     750      1800      450       441        31.0            13.8           43.1          24.1      0.1556     0.3501
  2_32    -43.70472  28.16353     5.150     750      1800      480       472        32.6            14.7           43.6          24.4      0.1643     0.3800
  2_33    -43.70472  28.16353     5.150     750      1950      476       476        32.4            13.7           38.7          26.0      0.1556     0.3929
  2_34    -43.70472  28.16353     5.150       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  2_35    -43.70472  28.16353     5.150       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  2_36    -43.70472  28.16353     5.150       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  2_37    -43.70472  28.16353     5.150       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  2_38    -43.70472  28.16353     5.150       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  2_39    -43.70472  28.16353     5.150       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  2_40    -43.70472  28.16353     5.150       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  2_41    -43.70472  28.16353     5.150       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  2_42    -43.70472  28.16353     5.150       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  2_43    -43.70472  28.16353     5.150       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  2_44    -43.70472  28.16353     5.150       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  2_45    -43.70472  28.16353     5.150       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  2_46    -43.70472  28.16353     5.150       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  2_47    -43.70472  28.16353     5.150       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  2_48    -43.70472  28.16353     5.150       0         0        0         0         0.0             0.0            0.0           0.0      0.0000     0.0000
  2_49    -43.70472  28.16353     5.150    1050       450      582       160        29.0            19.6           47.1          32.7      0.2798     0.0375
